latitude,longitude,ptype,property value
42.38857, -70.9993668, 401, 1208105
42.3885913673469, -71.0002367959184, 326, 610500
42.3882834125046, -71.0015768914824, 332, 332000
42.3885920816327, -71.0002255102041, 437, 293000
42.3885522, -70.999521, 337, 41200
42.3893752501959, -70.9989071319847, 407, 397000
42.386971, -71.006249, 320, 616000
42.3873265714286, -71.0065281428571, 320, 99000
42.38746, -71.006609, 320, 187500
42.38746, -71.006609, 320, 187500
42.3868332, -71.0066174, 357, 219000
42.386858, -71.006559, 357, 211000
42.386796, -71.006705, 326, 160000
42.3871807272727, -71.0066823636364, 311, 312000
42.3863591428571, -71.0099441428571, 326, 527000
42.3866486428571, -71.0091276428571, 320, 435000
42.3866693214286, -71.0090693214286, 320, 739500
42.3884774997165, -71.0024496864763, 320, 148500
42.387241, -71.00793, 332, 419500
42.3888894030295, -71.0101443418391, 320, 397000
42.3885743, -71.0007933, 336, 48500
42.3884294857143, -71.0063176857143, 353, 146500
42.3935532727273, -71.0110663636364, 320, 620000
42.3926643726013, -71.0039540093181, 367, 43266300
42.3781870769231, -71.0390883846154, 356, 242000
42.379323, -71.03554, 320, 193000
42.3787524, -71.036567, 317, 346000
42.378556, -71.035023, 325, 169500
42.3825214615385, -71.0328015384615, 317, 154700
42.3825214615385, -71.0328015384615, 317, 154700
42.3825200769231, -71.0326944230769, 332, 222500
42.3825166153846, -71.0324266346154, 332, 111000
42.3825138461538, -71.0322124038462, 332, 367500
42.3825103846154, -71.0319446153846, 317, 252000
42.3825096923077, -71.0318910576923, 332, 241578
42.3825062307692, -71.0316232692308, 332, 254108
42.3821142564103, -71.0304018717949, 332, 220313
42.3825268913044, -71.0337154130435, 316, 289500
42.3820501428571, -71.0366587142857, 336, 55500
42.382611, -71.033432, 332, 179000
42.38148, -71.040166, 332, 228200
42.3772591571058, -71.0390215066661, 344, 389000
42.3767724081633, -71.0397584081633, 332, 181000
42.37875, -71.039927, 407, 526500
42.3787975, -71.039931, 332, 338000
42.3788246428571, -71.0399332857143, 337, 38400
42.3766231734694, -71.0397456734694, 400, 1679500
42.3767379693878, -71.0397554693878, 317, 1139000
42.3768068469388, -71.0397613469388, 320, 1268500
42.380367, -71.04029, 400, 3810870
42.3789457, -71.0400548, 337, 28845
42.3789457, -71.0400548, 337, 54394
42.3811775, -71.0403612352941, 316, 1527975
42.3811775, -71.0403612352941, 316, 1527975
42.3811775, -71.0403612352941, 316, 1527975
42.3811775, -71.0403612352941, 316, 1527975
42.3811775, -71.0403612352941, 316, 1527975
42.3811775, -71.0403612352941, 316, 1527975
42.3811791666667, -71.0403613921569, 402, 2271900
42.3811791666667, -71.0403613921569, 402, 2271900
42.3811791666667, -71.0403613921569, 402, 2271900
42.3822752857143, -71.0394161071429, 333, 1705300
42.4217638, -71.0685584, 337, 489700
42.3831175833333, -71.0380196666667, 441, 418000
42.383117375, -71.038168, 317, 639900
42.383117375, -71.038168, 317, 639900
42.383201, -71.037557, 337, 380943
42.383201, -71.037557, 337, 380943
42.383201, -71.037557, 337, 28112
42.383282877551, -71.0378111836735, 317, 957500
42.3826848163265, -71.0384448979592, 407, 694000
42.3826848163265, -71.0384448979592, 407, 694000
42.3826840204082, -71.038269122449, 343, 315000
42.382683755102, -71.0382105306122, 317, 287000
42.3826816326531, -71.0377417959184, 316, 2143000
42.382611, -71.033432, 440, 492900
42.382611, -71.033432, 440, 921100
42.382611, -71.033432, 440, 109100
42.3812449875, -71.0271974875, 414, 1787000
42.3805188529412, -71.0265722647059, 420, 7596500
42.384064, -71.022679, 332, 106500
42.3732846666667, -71.0346906666667, 343, 82500
42.3738819411765, -71.0340021764706, 357, 127500
42.3738819411765, -71.0340021764706, 357, 122500
42.3801978, -71.0257445, 337, 50700
42.372422, -71.034935, 320, 1320500
42.3801978, -71.0257445, 337, 20200
42.3719497, -71.0608916, 317, 63000
42.3738840408163, -71.0348864693878, 343, 285000
42.3738146122449, -71.0345290408163, 355, 1310400
42.3697115333333, -71.0366394, 332, 235100
42.3716234166667, -71.0358700833333, 317, 1161600
